en_clean,ar_clean
thereat he stood up and looked me straight in the eyes it was a trick i knew well,قام عند الكلمة دي وبصلي جوا عينيا، ودي لعبة كنت عارفها كويس
i used to amuse myself trying it on emmanuel and celeste and nine times out of ten theyd look away uncomfortably,كنت باتسلي بها كثير مع امانويل وسيليست، وفي العموم كانو هما اللي بيدورو عينهم
i could see the chaplain was an old hand at it as his gaze never faltered,القسيس هو كمان كان عارف اللعبة دي كويس، وانا فهمت ده علي طول عشان نظرته ماكانتش بتتهز
and his voice was quite steady when he said have you no hope at all do you really think that when you die you die outright and nothing remains,ولا صوته كمان اتهز لما قالي يعني حضرتك ماعندكش اي امل وعايش بفكرة انك هتموت بشكل نهايي؟
i said yes,وجاوبت ايوة
he dropped his eyes and sat down again,ساعتها وطي راسه وقعد تاني
he was truly sorry for me he said,وقالي انه بيشفق عليا
it must make life unbearable for a man to think as i did,وفي رايه دي حاجة مستحيل اي انسان يستحملها
the priest was beginning to bore me and resting a shoulder on the wall just beneath the little skylight i looked away,عن نفسي، انا ماحسيتش غير بانه ابتدي يزهقني وبدوري لفيت وروحت تحت فتحة السقف كنت ساند بكتفي علي الحيطة
though i didnt trouble much to follow what he said i gathered he was questioning me again,ومن غير ما اتابع اللي كان بيقوله كويس، سمعت انه ابتدي يستجوبني تاني
presently his tone became agitated urgent and as i realized that he was genuinely distressed i began to pay more attention,كان بيتكلم بصوت قلقان وفية الحاح وفهمت انه كان متاثر فركزت في كلامه اكثر
he said he felt convinced my appeal would succeed but i was saddled with a load of guilt of which i must get rid,كان بيكلمني عن يقينه في ان طلب الاستيناف بتاعي هيتقبل، لكن انا كنت شايل حمل خطية وكنت لازم اتخلص منه
in his view mans justice was a vain thing only gods justice mattered,وعلي حسب رايه، عدالة الانسان ولا حاجة وعدالة الله كل حاجة
i pointed out that the former had condemned me,فعلقت ان العدالة الاولي هي اللي حكمت عليا
yes he agreed but it hadnt absolved me from my sin,جاوبني بان بالرغم من كده هي ماغسلتش خطيتي
i told him that i wasnt conscious of any sin all i knew was that id been guilty of a criminal offense,قلتله ان انا ماعرفش يعني ايه خطية وانهم عرفوني بس ان انا مذنب
well i was paying the penalty of that offense and no one had the right to expect anything more of me,انا مذنب، ودفعت التمن، ماحدش يقدر يطلب مني حاجة زيادة
just then he got up again and it struck me that if he wanted to move in this tiny cell almost the only choice lay between standing up and sitting down,في اللحظة دي قام من جديد، وقلت في نفسي انه لو كان عايز يفرك في الزنزانة الضيقة اوي دي، ماكانش عنده اختيارات كان لازم يا يقف يا يقعد
i was staring at the floor,عينيا كانت ثابتة علي الارض
he took a single step toward me and halted as if he didnt dare to come nearer,اخد خطوة ناحيتي ووقف، زي ما يكون ماعندوش الجراة انه يتقدم
then he looked up through the bars at the sky,وبص السما من بين القضبان وقالي
youre mistaken my son he said gravely theres more that might be required of you and perhaps it will be required of you,حضرتك غلطان يابني، ممكن يتطلب منك اكثر وفي الغالب هيتطلب منك فعلا
what do you mean,هيتطلب ايه بقي ؟
you might be asked to see,ممكن يتطلب منك انك تشوف
to see what,اشوف ايه ؟
this roused me a little,انفعلت شوية
i informed him that id been staring at those walls for months there was nobody nothing in the world i knew better than i knew them,وقلت ان انا بقالي شهور بابص للحيطان دي وماعرفش حد ولا حاجة في الدنيا اكتر منها
and once upon a time perhaps i used to try to see a face but it was a sungold face lit up with desire maries face,ويمكن من وقت طويل جدا، اكون دورت علي صورة لكن الصورة دي كانت صورة وش فيه سمار الشمس ونار الرغبة كان وش ماري
i had no luck id never seen it and now id given up trying,دورت عليه من غير نتيجة ودلوقتي خلاص
indeed id never seen anything taking form as he called it against those gray walls,وفي كل الاحوال، ماشفتش حاجة ظهرت من الحجارة اللي بتنزف دي
the chaplain gazed at me with a sort of sadness,القسيس ببصلي بنوع من الحزن
i now had my back to the wall and light was flowing over my forehead,كنت دلوقتي ساند ضهري بالكامل علي الحيطة ونور النهار كان بيصب علي وشي
he muttered some words i didnt catch then abruptly asked if he might kiss me,قال كام كلمة ماسمعتهمش وسالني بسرعة جدا اذا كنت اسمحله انه يحضني،
i said no,رديت ب لا
then he turned came up to the wall and slowly drew his hand along it,لف ومشي ناحية الحيطة ومسح بايده عليها ببطء
do you really love these earthly things so very much he asked in a low voice,وقال بصوت واطي يعني حضرتك بتحب الارض دي للدرجة دي؟
i made no reply,ماردتش باي حاجة
for quite a while he kept his eyes averted,فضل مديني ضهره لمدة طويلة لحد ما
his presence was getting more and more irksome and i was on the point of telling him to go and leave me in peace when all of a sudden he swung round on me and burst out passionately,وجوده كان تقيل عليا ومضايقني كنت هاقوله يمشي، ويسيبني، بس ساعتها صرخ بانفعال جامد فجاة وزي مايكون انفجار، ولف ناحيتي وقال
no no i refuse to believe it im sure youve often wished there was an afterlife,لا، مش قادر اصدقك انا متاكد انه حصل وحضرتك اتمنيت حياة تانية
of course i had i told him everybody has that wish at times but that had no more importance than wishing to be rich or to swim very fast or to have a bettershaped mouth,جاوبته وقلت ان ده طبيعي، لكن ده ماكانش له اهمية اكبر من ان انا اتمني ابقي غني، او ان انا ابقي باعوم بسرعة جدا، او ان بقي يبقي شكله احسن
it was in the same order of things,كل ده مايفرقش عن بعضه
i was going on in the same vein when he cut in with a question how did i picture life after the grave,لكن هو وقفني وكان عايز يعرف انا كنت بافكر ازاي في الحياة التانية دي
then he tried to change the subject by asking me why i hadnt once addressed him as father seeing that he was a priest,حاول يغير الموضوع وهو بيسالني ليه باناديه يا مسيو ومش باناديه يا ابونا
that irritated me still more and i told him he wasnt my father quite the contrary he was on the others side,ده عصبني جدا ورديت عليه بانه مش ابويا وانه تبع الباقيين
no no my son he said laying his hand on my shoulder im on your side though you dont realize it because your heart is hardened but i shall pray for you,حط ايده علي كتفي وهو بيقول لا يابني انا معاك لكن مش هتقدر تعرف ده عشان قلب حضرتك اعمي انا هاصليلك
then i dont know how it was but something seemed to break inside me and i started yelling at the top of my voice,ساعتها، ماعارفش ليه، فيه حاجة انفجرت جوايا
i hurled insults at him i told him not to waste his rotten prayers on me it was better to burn than to disappear,وقعدت ازعق بعلو صوتي وشتمته وقلتله مايصليش
id taken him by the neckband of his cassock and in a sort of ecstasy of joy and rage i poured out on him all the thoughts that had been simmering in my brain,مسكته من ياقة السوتان بتاعه كنت باصب عليه كل حاجة موجودة جوة قلبي، وكنت باهجم عليه هجمات مخلوطة بالفرحة والغضب
he seemed so cocksure you see,كان شكله واثق اوي، مش كده؟
and yet none of his certainties was worth one strand of a womans hair,بالرغم من كده، ولا يقين من بتوعه كان يساوي شعرة من راس واحدة ست
living as he did like a corpse he couldnt even be sure of being alive,ماكانش حتي متاكد انه عايش بما انه كان عايش زي واحد ميت
it might look as if my hands were empty,اما انا، انا كان شكلي مش ماسك حاجة في ايديا
actually i was sure of myself sure about everything far surer than he sure of my present life and of the death that was coming,لكن كنت متاكد من نفسي، متاكد من كل حاجة، متاكد اكثر منه، متاكد من حياتي ومن الموت ده اللي كان جاي
that no doubt was all i had but at least that certainty was something i could get my teeth into just as it had got its teeth into me,ايوة، ماكانش عندي حاجة غير كده لكن علي الاقل، انا كنت ماسك الحقيقة دي علي قد ما هي ماسكاني
id been right i was still right i was always right,كان عندي حق، ولسه عندي حق، وهافضل دايما عندي حق
id passed my life in a certain way and i might have passed it in a different way if id felt like it,انا عشت بالطريقة دي وكنت اقدر اعيش بطريقة غيرها خالص
id acted thus and i hadnt acted otherwise i hadnt done x whereas i had done y or z,عملت ده وماعملتش ده ماعملتش الحاجة دي، في حين اني عملت الحاجة التانية دي
and what did that mean,وبعدين؟
s,زي ما اكون كنت طول الوقت مستني الدقيقة دي واول خيوط الفجر ده اللي ممكن يثبت ان انا كان عندي حق
nothing nothing had the least importance and i knew quite well why,ولا حاجة، ولا حاجة ليها اي اهمية، وكنت عارف كويس ليه
he too knew why,هو كمان كان عارف ليه
surely surely he must see that,يا تري كان فاهم؟ يا تري كان فاهم بقي ؟
every man alive was privileged there was only one class of men the privileged class,الناس كلها كانو محظوظین ماكانش فيه غير محظوظين
all alike would be condemned to die one day his turn too would come like the others,الناس التانيين كمان، هيتحكم عليهم بالاعدام في يوم هو كمان، هيتحكم عليه
and what difference could it make if after being charged with murder he were executed because he didnt weep at his mothers funeral since it all came to the same thing in the end,ايه اللي يهم لو واحد متهم بالقتل، واتنفذ فيه حكم الاعدام عشان ماعيطش في يوم دفن امه ؟
the same thing for salamanos wife and for salamanos dog,ده كلب سالامانو كان له قيمة قد قيمة مراته
that little robot woman was as guilty as the girl from paris who had married masson or as marie who wanted me to marry her,والست الاوتوماتيك ذنبها كان قد ذنبي الست بتاعت باريس اللي اتجوزها ماسون او ذنب ماري اللي كانت عايزاني اتجوزها
what did it matter if raymond was as much my pal as celeste who was a far worthier man,ايه اللي يهم من ان ريمون كان صاحبي زيه زي سيليست اللي كان احسن منه ؟
what did it matter if at this very moment marie was kissing a new boy friend,ايه اللي يهم من ان ماري النهارده كانت بتدي شفايفها لمورسو جديد ؟
as a condemned man himself couldnt he grasp what i meant by that dark wind blowing from my future,يا تري الراجل اللي محكوم عليه ده كان فاهم بقي ان من اعماق مستقبلي؟
i had been shouting so much that id lost my breath and just then the jailers rushed in and started trying to release the chaplain from my grip one of them made as if to strike me,واتخنقت وانا باصرخ بكل ده لكن، بالفعل، كانو بيشدو القسيس من بين ايديا والحراس بيهددوني
the chaplain quietened them down then gazed at me for a moment without speaking,مع كده، هو هداهم وبصلي مدة من سكات
i could see tears in his eyes,وعينيه كانت مليانة دموع
then he turned and left the cell,ودور وشه واختفي
once hed gone i felt calm again,هو مشي، والهدوء رجعلي من تاني
but all this excitement had exhausted me and i dropped heavily on to my sleeping plank,كنت هلكان فرميت نفسي علي السرير الصغير بتاعي
i must have had a longish sleep for when i woke the stars were shining down on my face,اعتقد ان انا نمت عشان لما صحيت، كانت علي وشي لمعة النجوم
sounds of the countryside came faintly in and the cool night air veined with smells of earth and salt fanned my cheeks,واصوات الريف كانت واصلة لحد عندي روايح الليل، والطين، والملح كانو بينعشوني
the marvelous peace of the sleepbound summer night flooded through me like a tide,السلام الرايع بتاع الصيف النايم ده كان بيدخل جوايا زي مد البحر
then just on the edge of daybreak i heard a steamers siren,في اللحظة دي وعلي اطراف الليل، سرينة صرخت
people were starting on a voyage to a world which had ceased to concern me forever,كانت بتعلن عن رحلات لعالم بقي عندي ناحيته لامبالاة من دلوقتي وللابد
almost for the first time in many months i thought of my mother,وفكرت في ماما لاول مرة من مدة طويلة اوي
and now it seemed to me i understood why at her lifes end she had taken on a fiance why shed played at making a fresh start,بيتهيالي ان انا فهمت ليه في اخر حياتها اختارت واحد عشان يبقي خطيبها، فهمت ليه مثلت انها بتبتدي من جديد
there too in that home where lives were flickering out the dusk came as a mournful solace,عشان هناك، هناك برضو، الليل كان عامل زي هدنة حزينة حولين الدار دي اللي بتنطفي فيها حياة ناس
with death so near mother must have felt like someone on the brink of freedom ready to start life all over again,ماما اكيد كانت حاسة انها حرة ومستعدة تعيش كل حاجة من جديد لما بقت قريبة اوي كده من الموت
no one no one in the world had any right to weep for her,مافيش حد، مافيش حد كان له الحق انه يعيط عليها
and i too felt ready to start life all over again,انا كمان، حسيت اني مستعد اعيش كل حاجة من جديد
it was as if that great rush of anger had washed me clean emptied me of hope and gazing up at the dark sky spangled with its signs and stars for the first time the first i laid my heart open to the benign indifference of the universe,زي ما يكون الغضب الشديد ده طهرني من الشر، فضاني من الامل، وقدام الليل المزحوم بالابراج والنجوم، كنت منفتح لاول مرة علي حنية اللامبالاة بتاعت العالم
to feel it so like myself indeed so brotherly made me realize that id been happy and that i was happy still,لاول مرة كنت حاسس قد ايه هو شبهي اوي، قد ايه بقي بيني وبينه اخوة اخيرا، وحسيت ان انا كنت سعيد، وان انا لسه سعيد
for all to be accomplished for me to feel less lonely all that remained to hope was that on the day of my execution there should be a huge crowd of spectators and that they should greet me with howls of execration,وعشان كل حاجة تكمل وعشان ماحسش بالوحدة، ماكانش فاضل غير ان انا اتمني ان يوم تنفيذ الاعدام بتاعي يبقي فيه جماهير كتير بتتفرج وانهم يستقبلوني بصرخات الكره
she has disappeared since redas funeral,اختفت من ساعة عزا رضا
was she who sent all those demons our way because we left her,هل شيراز هي اللي طلعت كل الاشباح والمسوخ دي في طريقنا عشان سيبناها؟
why now,ليه دلوقتي؟
why come back for revenge after all these years,ليه بعد كل السنين راجعة تنتقم؟
does this mean shiraz will target us one after the other,هل ده معناه ان شيراز حتفضل ورانا واحد واحد؟
but why didnt she get back at me first,طب ليه مانتقمتش مني انا اول واحد؟
the most important question is how can she be stopped,الاهم من كل ده، ايه اللي هيوقفها؟
this is the high priestesss card,الكاهنة الكبري
this card symbolizes dreams,الورقة دي بترمز للاحلام
you might find what you want in your dreams,يمكن تلاقي اللي عايزه في احلامك
hold her tight,امسكها كويس
hold her,اقفل
dr refaat i dont know how to thank you,دكتور رفعت، انا مش عارف اشكر حضرتك ازاي
thanks to your recommendation my research was accepted by the academy,بسبب توصية حضرتك البحث بتاعي اتقبل هنا في الكلية
youre obviously pleased,واضح انك سعيد فعلا
you know they said that research on dreams is not common here,عارف يا دكتور، قالولي ان البحوث في الاحلام هنا نادرة
they will provide whatever i need,وهيوفروا لي كل اللي انا عايزه
hold her,اقفل اقفل
okay,حاضر
dr refaat are you okay,دكتور رفعت، انت كويس؟
is it possible not to dream,هو ممكن يكون في حد مابيحلمش؟
everyone dreams doctor but some dont remember their dreams,هو مافيش حد مابيحلمش يا دكتور، بس يعني جايز يكون مش بيفتكر احلامه
like the people of atlantis,زي شعب اتلانتس
who,مين؟
it seems like i really came to the right person,الظاهر انا جيت للشخص المناسب فعلا
your thesis is on dreams and you dont know the people of atlantis,ماجستيرك عن الاحلام ومش عارف شعب اتلانتس؟
the myth of the people who didnt dream,اسطورة الشعب اللي كانوا مابيحلموش
i hardly have time to study facts dont expect me to check myths,يا دكتور هو انا يعني لاحق اذاكر الواقع لما كمان هذاكر الاساطير
if you want i can tell you how to remember your dreams,طب ايه راي حضرتك في اللي يقولك علي طريقة تخليك تفتكر احلامك؟
listen doctor,شوف يا دكتور
sleep every night at the same time and forget about the alarm,انت تنام كل يوم في نفس المعاد وتنسي موضوع المنبه خالص
replace it with a notebook to write everything you remember upon waking up especially when you wake up late at night,حط مكانه نوتة صغيرة اكتب فيها كل اللي تفتكره اول ما تصحي من النوم خصوصا لو صحيت فجاة في نص الليل
this will help you remember,بكده هتفتكر احلامك احسن
i have a weird question for you,هسالك سوال غريب
go ahead doctor,اتفضل يا دكتور
please humor me,بس خدني علي قد عقلي
is there a way to dream of someone specific,هل في امكانية ان انا احلم بشخص معين؟
do you mean a living person,حضرتك تقصد شخص عايش يعني؟
does it make a difference,هتفرق؟
does it cost more for dead people,يعني لو ميت، هدفع رسوم زيادة؟
thats not what i meant doctor but,مش قصدي يا دكتور، بس يعني
there are methods but theyre not guaranteed,هو في طرق هي مش اكيدة بس
as you know its psychological,حضرتك عارف ان الموضوع نفسي
if you think of a person a lot for a long time before you sleep youll probably dream of them,يعني انه لو مثلا حضرتك ركزت تفكيرك في الشخص ده لفترة طويلة قبل ما تنام مباشرة، احتمال كبير تحلم بيه
also doctor with the technique i told you about with time you will be able to decipher your dreams,كمان يا دكتور في التكنيك اللي قولت لحضرتك عليه ده مع الوقت هتقدر تفسر الرموز والاشارات اللي في احلامك
when you compare the writtendown dream with the next days events,لما تقارن ما بين الحلم االلي لمكتوب وما بين الاحداث اللي حصلت في نفس اليوم
your conscious mind will understand your subconscious,بمعني ان وعيك هيفهم لاوعيك
after that youll enter the phase of lucid dreaming that they call daydreams,بعدها مباشرة حتدخل مرحلة اللوسيد دريم وبيسموها يعني الاحلام الواعية
i know about lucid dreaming,انا عارف اللوسيد دريم
great,عظيم جدا
when you can decipher your subconscious you can dream whatever you want and of whomever you want,فبالتالي يا دكتور لما تبقي قادر تفك شفرة لاوعيك هتقدر وبكل بساطة تحلم باللي انت عايز تحلم بيه وبالناس اللي عايز تشوفهم وبال
thank you,شكرا
thank you kamal,شكرا يا كمال
dr refaat,دكتور رفعت
youre committing suicide,انت بتنتحر
your tests are like those of a 70yearold,التحاليل والفحوصات اللي قدامي دي بتاعت واحد عنده سنة
you survived this time but you wont be able to handle another heart attack next time,المرة دي عدت بستر ربنا، لكن انت مش في حمل ازمة قلبية بجد
here you go,اتفضل
take these pills whenever needed,الحباية دي تلازمك طول الوقت
its nitroglycerin,ده نيتروجليسرين
place one pill under your tongue whenever needed,حباية تحت اللسان عند اللزوم
you have blood pressure and heart problems,انت مريض ضغط وقلب يا دكتور
and one more cigarette means death,انت علي مسافة سيجارة واحدة من الموت
is that a warning or a cigarette ad,ده تحذير ولا دعاية للسجاير؟
refaat why werent you answering your phone,رفعت، انت مابتردش علي التليفون ليه؟
sorry,معلش
i was busy,كنت مشغول
busy,مشغول؟
take these,طب خد
howaida sent them to you,هويدا باعتالك دول
i hope you feel happy now,علي الله كده تكون ارتحت
let me ask you this refaat,ثم انا عايزة افهم يا رفعت
whos supposed to check up on whom in such circumstances,مين فينا اللي المفروض يسال علي التاني في الظروف اللي زي دي؟
me or you,انا ولا انت؟
raeefa take it easy,رييفة، بالراحة
what do you want now,بالراحة ايه انت كمان
why havent they invented a button you can press to just evaporate,ازاي مخترعوش لحد دلوقتي زرار تدوس عليه تتبخر؟
to disappear and end a situation that youre not ready to confront,تختفي تنهي موقف مش جاهز تواجهه؟
may you rest in peace reda,الله يرحمك يا رضا
he was the only one who cared about me,هو الوحيد اللي كان بيشيل همي
im powerless without him,انا ضهري اتكسر من بعده
raeefa,رييفة
dont raeefa me,بلا رييفة بلا زفت
i can barely handle your issues and now i have to deal with his too,هو انا ملاحقة اشيل همك لما رفعت كمان يتوكس؟
sorry,معلش
im tired and i need some sleep,انا تعبان ومحتاج انام
shiraz,شيراز
refaat,رفعت
refaat,رفعت
may i come in,ممكن ادخل؟
i heard that you were on campus today,انا عرفت انك كنت في الجامعة النهاردة
yes i was in a hurry,مضبوط، بس كنت مستعجل
i wanted to check up on you,انا عايزة اتطمن عليك
can you give me a minute,ممكن دقيقة؟
i felt an immense weight on my chest,كان في تقل، تقل ضخم علي صدري
i was running i felt the pressure increasing on my chest more and more until i reached the key and heard,كنت بجري وحاسس ان صدري بيتضغط عليه اكتر فاكتر لحد ما وصلت للمفتاح وسمعت
are you okay refaat,انت كويس رفعت؟
i was worried sick about you,انا قلقانة جدا عليك
please get your life back together,لو سمحت، رتب حياتك
my life was together until you showed up again,انا حياتي كانت مترتبة لحد ما انت رجعتي فيها تاني
then everything went to hell,وكل حاجة اتلخبطت
did you want to check up on me,انت كنت جاية تطمني؟
im fine,انا كويس
i came here to tell you that im leaving,انا كنت جاية علشان اقولك ان انا هسافر
i hope youll write to me soon and tell me that youre really fine,اتمني تبعت لي قريبا انك بقيت فعلا كويس
you had a point when you said we cant be together,انت كان عندك وجهة نظر اننا ماتبقاش مع بعض
now i understand,انا دلوقتي فهمتها
kamal,كمال
come to my place now,تعالي لي دلوقتي
dr refaat i wanted to tell you something,دكتور رفعت انا كنت عايز اقول لحضرتك علي حاجة
but honestly im afraid that youd slap me in the face,بس بصراحة خايف حضرتك تديني بضهر ايدك
i already want to slap you,ما انا كده كده هديك بضهر ايدي
say it dont worry,لا، قول، ماتقلقش
what you described on the phone is similar to something with a weird name,اللي حضرتك حكيت لي عليه في التليفون ده يشبه حاجة كده، هي اسمها غريب شوية
its called a succubus,هي اسمها الجاثوم
its this one doctor take a look,اهو يا دكتور، اهو، هو ده
the succubus is a mythical creature that has many shapes,الجاثوم ده يا دكتور هو كاين خرافي له اوصاف مختلفة
it is said that it is the guardian of the dark side of existence,بيقولوا ان هو حارس الجانب المظلم من الوجود
supposedly it stops anyone from crossing into the underworld of demons,المفترض يا دكتور انه بيمنع اي حد من الوصول لعالم المسوخ والشياطين
most of those who saw it suffered from a condition called sleep paralysis,معظم اللي شافوه يا دكتور عانوا من حاجة اسمها شلل النوم
its when you feel youre awake but at the same time something is holding you down,اللي هو يعني بتحس انك فايق بس في نفس التوقيت ده في حاجة كده مكتفاك
it seems your thesis is about mythology,طب ما انت ماجستيرك دخله اساطير اهو
if we exclude this theory the only explanation would be that you sleepwalk,اذا استبعدنا ده يا دكتور، فبالتالي هيكون التفسير الوحيد لده هو ان حضرتك بتمشي وانت نايم
thats if these things only happen inside the house,ده لو الحاجات دي من بيتي
if im sleepwalking that means i drift outside,لكن لو علي كلامك انا بامشي وانا نايم الف علي الجيران
sprinkle some flour around your bed,طب ما تجرب انك ترش شوية دقيق حوالين سريرك
if you wake up and see footsteps that means,فبالتالي لو صحيت من النوم ولقيت في اثار اقدام، فده معناه انه يعني
flour,دقيق؟
flour doctor,دقيق يا دكتور؟
your thesis is about mythology and also about cooking,انت ماجستيرك دخله اساطير وبعدين دخله كتب طبخ
i might as well ask my aunt then,طب ما كنت اروح استشير خالتي، افضل
save yourself doctor,الحق نفسك يا دكتور
youre more important,انت اهم
can i come in,ممكن ادخل؟
please,اتفضلي
i wont keep you for long,مش هاخد من وقتك كتير
i want to talk to you about refaat,انا عايزة اتكلم معاكي عن رفعت
i know that you were with him in libya,انا عارفة ان انت كنت مع رفعت في سفرية ليبيا
i dont know what happened between you two and i dont want to know,ماعرفش بقا ايه اللي حصل ما بينكم هناك ومش عايزة اعرف
refaat went to libya for only one thing to find the medicine that would save your life,رفعت كان في ليبيا علشان حاجة واحدة بس ، يلاقي الدوا اللي انقذ حياتك
to do so hes done the unimaginable,وعلشان يلاقيه عمل حاجات لا يمكن تتخيليها
refaat said that he ordered that medicine from abroad,انا رفعت قالي ان هو بعت جاب الدوا ده من بلاد برا
you know how refaat speaks the opposite of what he thinks,انت عارفة رفعت بيقول عكس اللي في دماغه
believe me,صدقيني
i wouldnt have come here if refaat didnt need urgent help,انا كنت لا يمكن اجيلك لحد هنا لو رفعت فعلا مش محتاج مساعدة كبيرة
refaat and i are through theres nothing i can do to help,انا مبقاش في ما بيني وبين رفعت حاجة علشان اساعده
its not my business,ماليش علاقة بالموضوع
youre the only one who can help him now,انت الشخص الوحيد اللي ممكن تساعديه دلوقتي
i took the ring,انا اللي اخدته منه
i dont know why,مش عارفة ليه
but i found out that its not my size,بس لقيته مش علي مقاسي
its actually your size,وعلي مقاسك انت
please howaida stay next to him,ارجوكي يا هويداا، خليكي جنب رفعت
wait,استني
i sprinkled flour and saw strange footprints on it,رشيت دقيق، صحيت لقيت اثار رجلين حد تاني
what can i sprinkle to understand whats happening,ارش ايه تاني علشان افهم اللي بيحصل؟
powdered milk,لبن بودرة؟
whoever is killed by the succubus dies in real life,من يقبض الجاثوم روحه في المنام، يموت في الحقيقة
could it be a coincidence doctor,مش يمكن تكون صدفة يا دكتور؟
the cat,القطة
the cat died on the same night kamal,القطة ماتت في نفس الليلة يا كمال
does that mean,ده معناه ان
what are you doing,انت بتعمل ايه؟
this is the most important reference about,ده اهم مرجع يا دكتور عن
sorry doctor,انا اسف يا دكتور
i came here so you can help me not kill me,انا جايلك علشان تساعدني مش علشان تموتني
although that would be the best help you could offer me now,ولو ان دي احسن مساعدة ممكن تقدمهالي دلوقتي
dr refaat i have to say that the most common psychological conditions are depression and extreme anxiety,دكتور رفعت، مهم اني اقول لحضرتك ان الحالة النفسية المشتركة بين اغلب اللي شافوا الجاثوم هي الاكتياب والقلق المرضي
dont worry about me,متقلقش عليا
just help me understand whats happening,المهم انت تساعدني بس نفهم ايه اللي بيحصل
is there any case in your research in which dreams extend to reality,هل قابلتك اي حالة في ابحاثك فيها الحلم بيخرج للواقع؟
on the contrary,هو، لا بالعكس
its the same as i told you about lucid dreams,زي ما شرحت لحضرتك موضوع الاحلام الواعية
you have to transfer your consciousness to the dream which only happens when you can decipher your dream codes,انك بتنقل وعيك لجوا الحلم وده مابيحصلش غير لما بتبقي قادر تفك شفرة لاوعيك كلها
what is that,ايه ده؟
what,ايه؟
it says that the only way to get rid of a succubus is to kill it,لقيت هنا ان الحل الوحيد لخروج الجاثوم من الاحلام هو القتل
either it kills or it gets killed,يا يقتل، يا يتقتل
but it killed the cat,طب ما هو قتل القطة
no it says that it only leaves a dream if a human is killed,لا يا دكتور مكتوب انه مش بيسيب الحلم الا لو قتل بني ادم
i came by but you werent home,انا جيت ومالقيتكش
call me,كلمني
howaida,هويدا
diary,يوميات
howaida came,جات هويدا
im emotionally unable to see her,انا مش في حالة نفسية تسمح لي باستقبالها
dreams,احلام
felt like a long day,يوم طويل حسيت انه طويل من احداثه
maybe due to the pain i felt in the dream,يمكن من شعوري بالالم في نهاية الحلم
the woman who loves her man just because of his strength,الست مابتحبش الراجل علشان جبروته او شكله لكن ضعفه وقوته
love at 14 is a must 24 life 34 fatuity 44 misery,الحب في ال ضرورة وفي ال حياة وال عبط وال ماساة
how can i decipher my subconscious i dont even like my conscious mind,هو انا طايق الوعي بتاعي لما هافك شفرات اللاوعي؟
if i sleep again ill die,انا لو نمت، هاموت
at the end of the dream i fell from a high space,انا اخر الحلم كنت باقع من مكان عالي جدا
we have only one solution then,كده يا دكتور احنا ماقدمناش غير حل واحد
i have to what you while you sleep,وهو اني اقعد اراقب حضرتك وانت نايم
no,لا
why not doctor,لا ليه يا دكتور؟
if youre worried about me theres nothing to worry about,ما هو لو حضرتك خايف عليا فمفيش حاجة تخوف
the cat might have died from natural causes,القطة وممكن تكون ماتت بشكل طبيعي
even this bruise maybe you just bumped into something,وحتي الكدمة دي، حضرتك ممكن تكون خبطت نفسك
why cant i control my dreams,هو انا ليه مش عارف اتحكم في احلامي؟
i understand all the symbols i saw in the dream,انا فاهم كل رمز وكل اشارة شوفتها في الحلم
it takes time doctor,ما هو برضه الموضوع بياخد وقت يا دكتور
the codes of the subconscious are not always simple,مش دايما شفرة اللاوعي بتكون بسيطة
all i saw were my fears my guilt and the maze,كل اللي شوفته كان مخاوفي، شعوري بالذنب، المتاهة
i used to always solve mazes,لان انا دايما كنت باحل المتاهات
until i became the mouse in the maze,لغاية مابقيت انا الفار اللي جوة المتاهة
its not necessarily the only explanation for the maze,مش ضروري يكون ده التفسير الوحيد للمتاهة يا دكتور
the things we see in our dreams dont have a unified constant explanation,الحاجات اللي بنشوفها في الحلم مالهاش تفسير واحد وثابت
a candle in a dream could symbolize faith for one person,يعني مثلا الشمعة في الحلم عند واحد ممكن تكون بترمز للايمان
for another it might symbolize romanticism,واحد تاني بالنسبة له هي ممكن ترمز للرومانسية
and for someone else it might symbolize the horror,واحد تالت بالنسبة له معناها الرعب
could this maze have a special meaning in your subconscious,مش جايز المتاهة دي يكون ليها معني خاص في عقلك الباطن؟
i cant sleep until i find a solution,انا مش هينفع انام غير لما الاقي حل
thats also not good doctor,ما هو ده كمان مش هينفع يا دكتور
how long are you planning on staying awake,طيب، ممكن حضرتك تفهمني حتفضل صاحي كده لحد امتي؟
not to mention your health,وخصوصا مع حالتك الصحية دي؟
dr refaat hasnt shown up for two days now,الدكتور بقاله يومين ماجاش
is anyone there,يا اهل الله ياللي هنا؟
step back,ارجع
i need to go in,انا محتاج ادخل البيت
why is that,عايز تدخل ليه؟
theres something inside that i need to know its important to me,في حاجة جوة مهمة بالنسبة لي محتاج اعرفها
do you see her,انت بتشوفها؟
in your dreams,في الحلم؟
in reality as well,وفي الحقيقة
youre dead,انت ميت
no one saw her in a dream and lived to talk about it,محدش شافها في الحلم الا ومات
shiraz will only get out of your head when she kills you,شيراز مش هتخرج من راسك الا لما تقتلك
please let me in,ارجوك سيبني ادخل
go away or i will shoot you,امشي حالا بدل ما افرغ البندقية كلها فيك
go,امشي
im sorry mom,انا اسف يا امي
im sorry for not coming here often,اسف اني ماكنتش باجي
ive always felt that you dont hear me,انا كنت حاسس طول الوقت انك مش سامعاني
and i couldnt handle seeing you like this,ماكنتش باستحمل اشوفك كده
