EGY,ENG
"لكن في الحالة دي، وافق يدي الإذن لصديق قديم لماما بإنه يمشي في الجنازة وكان إسمه : ""توما پيريز"". ",But in this particular instance I've given permission to an old friend of your mother to come with us. His name is Thomas Perez.
وفي الوقت ده المدير إبتسم. وقالي:,The warden smiled.
حضرتك فاهم، ده شعور طفولي شوية.,It's a rather touching little story in its way.
لكن هو ووالدة حضرتك ماكانوش بيفترقو أبدا. , He and your mother had become almost inseparable
"وكانو بيهزرو معاهم في الدار وكانو بيقولو ليوريز : ""دي خطيبتك."" ",The other old people used to tease Perez about having a fiancee
وهو كان بيضحك. ,He'd turn it with a laugh.
الموضوع ده كان بيبسطهم. ,"It was a standing joke, in fact."
وفي الواقع إن موت مدام مورسو أثر فيه جامد. ,"So, as you can guess, he feels very badly about your mother's death."
ماعتقدش إني كنت المفروض أرفض أديله الإذن. ,I thought I couldn't decently refuse him permission to attend the funeral.
لكن أنا منعته يقضي الليلة جلها إمبارح بناء على نصيحة الدكتور. ,"But, on our medical officer's advice, I forbade him to sit up beside the body last night."
فضلنا ساكتين وقت طويل. ,For some time we sat there without speaking.
والمدير وقف وبص من شباك مكتبه. ,Then the warden got up and went to the window
"في الوقت ده، قال وهو باصص: ""أهو كاهن مارنجو فعلا. وصل بدري."" ","Presently he said: ""Ah, there's the padre from Marengo. He's a bit ahead of time."""
ونبهني إننا هنحتاج على الأقل تلت تربع ساعة مشي عشان نروح الكنيسة إللي في نفس القرية. ,"He warned me that it would take us a good three quarters of an hour, walking to the church, which was in the village"
ونزلنا. ,Then we went downstairs
والكاهن كان واقف قدام المبنى ومعاه إثنين من أطفال الكورال. ,The priest was waiting just outside the mortuary door.
واحد منهم كان ماسك مبخرة والقسيس وطى ناحيته عشان يظبط طول السلسلة الفضة. ,"With him were two acolytes, one of whom had a censer. The priest was stooping over him, adjusting the length of the silver chain on which it hung."
"ولما وصلنا القسيس قام. وناداني وقال: ""يا إبني"" وقالي كام كلمة. ","When he saw us he straightened up and said a few words to me, addressing me as, ""My son."""
ودخل وأنا مشيت وراه. ,Then he led the way into the mortuary.
شفت فجأة إن مسامير النعش إتربطت وإنه كان واقف في الأوضة أربع رجالة سود. ,I noticed at once that four men in black were standing behind the coffin and the screws in the lid had now been driven home
وفي نفس الوقت، سمعت المدير بيقولي إن العربية كانت مستنية على الطريق وسمعت القسيس بدأ صلواته. ,"At the same moment I heard the warden remark that the hearse had arrived, and the priest starting his prayers."
ومن اللحظة دي كل حاجة مشيت بسرعة جدا. ,Then everybody made a move.
الرجالة إتقدمو ناحية النعش ومعاهم غطا. واحنا خرجنا أنا والقسيس واللي معاه والمدير. ,"Holding a strip of black cloth, the four men approached the coffin, while the priest, the boys, and myself filed out."
"كان فيه واحدة ست قدام الباب أنا ماعرفهاش والمدير قالها: ""مسيو مورسو"". ","A lady I hadn't seen before was standing by the door. ""This is Monsieur Meursault,"" the warden said to her."
أنا ماسمعتش إسم الست دي لكن فهمت بس إنها كانت ممرضة منتدبة. ,"I didn't catch her name, but I gathered she was a nursing sister attached to the Home."
ومبلت وشها الطويل المعضم من غير إبتسامة. ,"When I was introduced, she bowed, without the trace of a smile on her long, gaunt face. "
وبعدها إترصينا عشان نسيب مكان للجثمان يعدي. ومشينا ورا الشيالين وخرجنا من الدار. العربية كانت قدام الباب. ,"We stood aside from the doorway to let the coffin by; then, following the bearers down a corridor, we came to the front entrance, where a hearse was waiting."
 ومستطيلة وبتبرق، كانت بتفكرني بالمقلمة. ,"Oblong, glossy, varnished black all over, it vaguely reminded me of the pen trays in the office."
وكان واقف جنبها منظم الجنازة، كان راجل قصير بهدوم مضحكة، وواقف واحد عجوز شكله. كان لابس برنيطة فيه حاجة مصطنعة. فهمت إنه ده كان مسيو پيريز. ,"Beside the hearse stood a quaintly dressed little-man, whose duty it was, I understood, to supervise the funeral, as a sort of master of ceremonies. Near him, looking constrained, almost bashful, was old M Perez, my mother's special friend."
كان لابس برنيطة طرية، مدورة من النص وبجناب عريضة (قلعها لما النعش خرج من الباب)، وكان لابس بدلة، البنطلون بتاعها نازل لافف على الجزمة وبابيون سودة صغيرة أوي على قميصه أبو ياقة بيضة عريضة شفايفه كانت بترتعش تحت مناخيره إللي مليانة روس سودة. ,"He wore a soft felt hat with a pudding-basin crown and a very wide brim — he whisked it off the moment the coffin emerged from the doorway — trousers that concertina'd on his shoes, a black tie much too small for his high white double collar Under a bulbous, pimply nose, his lips were trembling."
وشعره كان أبيض ناعم لحد بعيد وكان مبين ودان غريبة مدلدلة وشكلها مش مظبوط، وصدمني لونها الأحمر إللي زي الدم في وشه الباهت. ,"But what caught my attention most was his ears; pendulous, scarlet ears that showed up like blobs of sealing wax on the pallor of his cheeks and were framed in wisps of silky white hair."
والمنظم وقفنا في الأماكن بتاعتنا. الكاهن كان ماشي قدام وبعده العربية. وحواليها الرجالة الأربعة. ,"The undertaker's factotum shepherded us to our places, with the priest in front of the hearse, and the four men in black on each side of it."
وأنا والمدير ورا وفي الأخر الممرضة المنتدبة ومسيو پيريز قافلين الموكب. ,"The warden and myself came next, and, bringing up the rear, old Perez and the nurse"
الشمس كانت خلاص ملت السما. وكانت بدأت تتقل على الأرض والحرارة كانت بتعلى بسرعة. ,"The sky was already a blaze of light, and the air stoking up rapidly"
ماعرفش إحنا إستنينا وقت طويل كده ليه قبل ما نبتدي نمشي. ,I couldn't imagine why we waited so long for getting under way.
كنت حران بهدومي الغامقة. ,"I felt the first waves of heat lapping my back, and my dark suit made things worse."
والراجل الكبير إللي كان لبس البرنيطة بتاعته رجع قلعها من جديد. ,"Old Perez, who had put on his hat, took it off again."
ولما المدير كلمني عنه، لفيت ناحيته شوية وبصيتله. ,I had turned slightly in his direction and was looking at him when the warden started telling me more about him.
وقالي إن أمي ومسيو پيريز كانو بيروحو كتير يتمشو لحد القرية، وكان بيبقى معاهم ممرضة. ," I remember his saying that old Perez and my mother used often to have a longish stroll together in the cool of the evening; sometimes they went as far as the village, accompanied by a nurse, of course."
كنت بابص للريف حوليا. وما بين صفوف شجر السرو إللي كانو بياخدونا لتلال قريبة من السما، وما بين الأرض دي إللي لونها شوية أحمر وشوية أخضر، والبيوت إللي تتعد على الصوابع واللي متصممة ببراعة، كنت قادر أفهم ماما. ,"I looked at the countryside, at the long lines of cypresses sloping up toward the skyline and the hills, the hot red soil dappled with vivid green, and here and there a lonely house sharply outlined against the light — and I could understand Mother's feelings."
الليل في البلد دي، أكيد بيبقي زي ما يكون هدنة حزينة. , Evenings in these parts must be a sort of mournful solace.
لكن النهارده، الشمس كانت زايدة عن حدها وخلت المنظر مش إنساني ويجيب إكتئاب. ,"Now, in the full glare of the morning sun, with everything shimmering in the heat haze, there was something inhuman, discouraging, about this landscape."
إبتدينا نمشي. ,At last we made a move
وفي الوقت ده لاحظت إن بيريز بيعرج على خفيف. ,Only then I noticed that Perez had a slight limp
العربية كانت بتاخد سرعتها واحدة واحدة والمسافة ما بينها وبين العجوز كانت بتزيد. ,The old chap steadily lost ground as the hearse gained speed
 وفيه كمان واحد من الرجالة إللي كانو حوالين العربية سابها تعديه وبقى ماشي جنبى دلوقتي. ,"One of the men beside it, too, fell back and drew level with me."
وكنت متفاجئ بالسرعة إللي الشمس يتطلع بيها في السما. ولاحظت إن الريف كان فعلا بقاله مدة بيدندن بغنا الحشرات وطقطقة الحشايش. ," I was surprised to see how quickly the sun was climbing up the sky, and just then it struck me that for quite a while the air had been throbbing with the hum of insects and the rustle of grass warming up."
والعرق كان سايح على خدودي. ,Sweat was running down my face.
وبما إني ماكانش معايا برنيطة، كنت باهوي على نفسي بمنديل. , As I had no hat I tried to fan myself with my handkerchief.
ساعتها عامل الدفن قالي حاجة ماسمعتهاش. ,The undertaker's man turned to me and said something that I didn't catch
في نفس الوقت كان بيمسح رأسه بمنديل كان ماسكه بايده الشمال وهو رافع طرف الكاسكيتة بتاعته بإيده اليمين. ,"At that same time he wiped the crown of his head with a handkerchief that he held in his left hand, while with his right he tilted up his hat."
"قلتله: "" نعم؟"" ",I asked him what he'd said
"عاد كلامه وهو بيشاور على السما وقال: ""نار"". ","He pointed upward, ""Sun's pretty bad today, ain't it?"""
"فقلت: ""أيوة"". ","""Yes,"" I said"
"وبعدها بشوية سألني: ""إللي هناك دي والدتك ؟"" ","After a while he asked: ""Is it your mother we're burying?"" "
"فقلت تاني: ""أيوة "". ","""Yes,"" I said again."
"""كانت عجوزة؟"" ",What was her age? 
"فرديت: ""هو كده""","Well, she was getting on"
عشان ماكنتش عارف سنها بالظبط. ,"As a matter of fact, I didn't know exactly how old she was."
وبعدها سكت. ,After that he kept silent.
فلفيت وشفت بيريز العجوز على بعد حوالي خمسين متر ورانا. ,"Looking back, I saw Perez limping along some fifty yards behind."
كان بيمد وهو بيطوح البرنيطة بتاعته بطرف دراعه. ," He was swinging his big felt hat at arm's length, trying to make the pace"
وبصيت كمان للمدير. , I also had a look at the warden.
كان ماشي باعتزاز كبير من غير ما يعمل أي حركة مالهاش لازمة. ,"He was walking with carefully measured steps, economizing every gesture."
وشوية نقط عرق كانت بتبرق على جبينه لكن ماكانش بيممسحهم. ,"Beads of perspiration glistened on his forehead, but he didn't wipe them off."
كان بيتهيألي إن المجموعة ماشية أسرع شوية من الأول. ,I had an impression that our little procession was moving slightly faster
وكان حواليا نفس الريف المنور إللي الشمس بلعاه. ولمعان السما ماكانش محتمل. ,"Wherever I looked I saw the same sun-drenched countryside, and the sky was so dazzling that I dared not raise my eyes."
وفي وقت معين، فتنا على حتة في الطريق كانت لسه متصلحة قريب. ,Presently we struck a patch of freshly tarred road
والشمس كانت شققت الأسفلت، والرجلين كانت بتغوص فيه وبتسيب قلبه مفتوح وبيلمع. ,"A shimmer of heat played over it and one's feet squelched at each step, leaving bright black gashes."
وعلى العربية، برنيطة السواق المصنوعة من الجلد المغلي كانت كأنها معجونة في الطينة السودة دي. ,"In front, the coachman's glossy black hat looked like a lump of the same sticky substance, poised above the hearse."
وكنت تايه شوية بين لون السما الأزرق في أبيض، وبين رتابة الألوان سودا دي، اللون الأسود اللزج بتاع الأسفلت المفتوح، والأسود الباهت بتاع اللبس والأسود اللميع بتاع العربية. ,"It gave one a queer, dreamlike impression, that blue- white glare overhead and all this blackness round one: the sleek black of the hearse, the dull black of the men's clothes, and the silvery-black gashes in the road."
والشمس، وريحة الجلد والفضلات بتاعت العربية، وريحة الورنيش وريحة البخور، وتعب ليلة من غير نوم، كل ده كان مشوش على نظرتي وعلى أفكاري. ,"And then there were the smells, smells of hot leather and horse dung from the hearse, veined with whiffs of incense smoke. What with these and the hangover from a poor night's sleep, I found my eyes and thoughts growing blurred."
ولفيت مرة كمان : پيريز كان باينلي بعيد أوي، ضايع وسط سحابة من الحرارة، وبعدها مالمحتوش تاني. ,"I looked back again Perez seemed very far away now, almost hidden by the heat haze; then, abruptly, he disappeared altogether."
دورت عليه بعنيا وشفته ساب الطريق ودخل بين الحقول. ,"After puzzling over it for a bit, I guessed that he had turned off the road into the fields."
وأخدت بالي كمان إن الطريق قدامي بيلف. ,Then I noticed that there was a bend of the road a little way ahead.
ففهمت إن بيريز إللي عارف البلد كويس قطع المسافة بأقصر طريق عشان يحصلنا. ,"Obviously Perez, who knew the district well, had taken a short cut, so as to catch up with us."
ولحقنا في الملف. وبعدها ضاع مننا. ,He rejoined us soon after we were round the bend; then began to lose ground again.
كان دخل بين الحقول ثاني وهكذا أكثر من مرة. ,"He took another short cut and met us again farther on; in fact, this happened several times during the next half-hour."
وأنا كنت حاسس بالدم بيضرب في دماغي. ,But soon I lost interest in his movements; my temples were throbbing and I could hardly drag myself along.
بعد كده، كل حاجة مشبت بدرجة كبيرة من الإستعجال واليقين، وبشكل طبيعي لدرجة إني مابقيتش فاكر منها حاجة خلاص. ,After that everything went with a rush; and also with such precision and matter-of- factness that I remember hardly any details.
إلا حاجة واحدة بس فاكرها: في مدخل القرية، الممرضة المنتدبة كلمتني. ,Except that when we were on the outskirts of the village the nurse said something to me.
وكان صوتها مميز مش ماشي مع شكلها، كان صوت موسيقي وبيرتعش. ,Her voice took me by surprise; it didn't match her face at all; it was musical and slightly tremulous.
قالتلي: لو مشينا بشويش، فيه خطر ييجيلنا ضربة شمس. ,"What she said was: ""If you go too slowly there's the risk of a heatstroke"
لكن لو مشينا بسرعة أوي هنعرق وفي الكنيسة هناخد برد بعد الحر. ,"But, if you go too fast, you perspire, and the cold air in the church gives you a chill."
وكان عندها حق. ماكانش فيه مخرج. ,I saw her point; either way one was in for it.
واحتفظت كمان بكام صورة من اليوم ده في دماغي,Some other memories of the funeral have stuck in my mind
مثلا، وش پيريز لما لحقنا لآخر مرة قرب القرية. ,"The old boy's face, for instance, when he caught up with us for the last time, just outside the village"
الدموع الكبيرة إللي كانت بتفيض على خدوده، دموع النرفزة والحزن. ,"His eyes were streaming with tears, of exhaustion or distress, or both together"
لكن التجاعيد ماكانتش بتخليها تسيل. ,But because of the wrinkles they couldn't flow down
وكانت بتتفرد وتتجمع وتكون طبقة من الماية بتلمع على وشه المتدمر. ,"They spread out, crisscrossed, and formed a smooth gloss on the old, worn face"
 كان فيه كمان الكنيسة وأهل القرية على الرصيف، والورد الأحمر على القبور في المدافن، ولما بيريز أغم عليه (زي ما يكون عروسة لعبة مخلعة)، التراب إللي بلون الدم إللي كان بيتفرد على النعش بتاع ماما، الأنسجة البيضا بتاعت الجذور إللي إتخلطت بالتراب، وناس كمان، وأصوات، والقرية، والإنتظار قدام قهوة، وشخير الموتور إللي مش بيبطل، وفرحتي لما الأوتوبيس دخل عش النور بتاع مدينة الجزاير، ولما فكرت إني هادخل السرير وهانام لمدة إتناشر ساعة,"And I can remember the look of the church, the villagers in the street, the red geraniums on the graves, Perez's fainting fit — he crumpled up like a rag doll — the tawny-red earth pattering on Mother's coffin, the bits of white roots mixed up with it; then more people, voices, the wait outside a cafe for the bus, the rumble of the engine, and my little thrill of pleasure when we entered the first brightly lit streets of Algiers, and I pictured myself going straight to bed and sleeping twelve hours at a stretch."
الفصل التاني,// 
وأنا باصحى، فهمت ليه لما طلبت يومين الأجازة بتوعي من صاحب الشغل كان شكله مش مبسوط:النهاردة السبت.,ON WAKING I understood why my employer had looked rather cross when I asked for my two days off; it's a Saturday today. 
وأنا كنت ناسي الموضوع ده لو جاز التعبير، لكن وأنا بقوم من السرير، جاتني الفكرة دي.,I hadn't thought of this at the time; it only struck me when I was getting out of bed.
صاحب الشغل، طبيعي جدا، فكر إن لو حسبنا يوم الحد يبقى كده أنا واخد أربع تيام أجازة وأكيد دي حاجة ماكانتش ممكن تبسطه.,"Obviously he had seen that it would mean my getting four days' holiday straight off, and one couldn't expect him to like that."
لكن مش غلطتي إن ماما إتدفنت إمبارح مش النهارده، ده من ناحية، ومن ناحية تانية، في كل الأحوال أنا كنت هاخد أجازتي يوم السبت والأحد.,"Still, for one thing, it wasn't my fault if Mother was buried yesterday and not today; and then, again, I'd have had my Saturday and Sunday off in any case."
لكن ده طبعا مش هيمنعني من إني أتفهم برضو صاحب الشغل.,But naturally this didn't prevent me from seeing my employer's point.
لاقيت صعوبه في إني أقوم لإني كنت تعبان من اليوم بتاع إمبارح.,"Getting up was an effort, as I'd been really exhausted by the previous day's experiences."
وأنا بحلق، سألت نفسي هعمل إيه وقررت إني هاروح أعوم.,"While shaving, I wondered how to spend the morning, and decided that a swim would do me good."
أخدت الترام عشان أروح مجمع السباحة بتاع المينا., So I caught the streetcar that goes down to the harbor.
وكان فيه شباب كتير. وفي الميه لقيت ماري كاردونا، موظفة الاله الكاتبة إللي كانت زمان بتشتغل في المكتب إللي أنا باشتغل فيه وساعتها كنت معجب بيها. وأعتقد إن هيا كمان كانت معجبة بيا.,"It was quite like old times; a lot of young people were in the swimming pool, amongst them Marie Cardona, who used to be a typist at the office. I was rather keen on her in those days, and I fancy she liked me, too."
لكن مشيت بعدها بفتره بسيطه ومالحقناش.,But she was with us so short a time that nothing came of it.
ساعدتها تطلع على عوامة، وأنا بعمل الحركة دي، حكيت في صدرها.,"While I was helping her to climb on to a raft, I let my hand stray over her breasts."
وهي بقت نايمة فعلا على بطنها فوق العوامة في وقت ماأنا كنت لسا في الماية.,"Then she lay flat on the raft, while I trod water."
لفت ناحيتي.,After a moment she turned and looked at me.
وشعرها كان عللى عينيها وكانت بتضحك.,Her hair was over her eyes and she was laughing.
فرفعت نفسي وطلعت جنبهاعلى العوامة.,"I clambered up on to the raft, beside her."
الجو كان جميل، فعملت نفسي باهزر، وسبت إيدي ترجع لورا وتسند على بطنها. ,"The air was pleasantly warm, and, half jokingly, I let my head sink back upon her lap."
وهي ماقالتش حاجة، فأنا فضلت کده.,"She didn't seem to mind, so I let it stay there"
السما كلها كانت قدام عينيا وكان لونها أزرق في دهبي.,"I had the sky full in my eyes, all blue and gold, and I could feel Marie's stomach rising and falling gently under my head."
وفضلنا مدة طويلة على العوامة بين النوم والصحيان. ,"We must have stayed a good half-hour on the raft, both of us half asleep."
ولما الشمس بقت جامدة أوي، في غطست في المايه وأنا نزلت وراها. ,When the sun got too hot she dived off and I followed
لحقتها، وحطيت إيدي حوالين وسطها وعومنا سوا. ,"I caught up with her, put my arm round her waist, and we swam side by side."
وكانت لسه بتضحك. ,She was still laughing
ولما كنا بنتنشف على الرصيف قالتلي : ,While we were drying ourselves on the edge of the swimming pool she said: I'm 
أنا سمرة أكثر منك," ""I'm browner than you."""
فسألتها إذا كانت تحب تروح السينما بالليل. ,I asked her if she'd come to the movies with me that evening. 
ضحكت أكثر وقالتلي إن نفسها تشوف فيلم لفرنانديل. ,"She laughed again and said, ""Yes,"" if I'd take her to the comedy everybody was talking about, the one with Fernandel in it. "
ولما لبسنا هدومنا، شافتني لابس كرافتة سودة وبان عليها إنها متفاجئة جدا وسألتني إذا كنت في فترة حداد. ,"When we had dressed, she stared at my black tie and asked if I was in mourning. "
فقلتلها إن ماما ماتت. ,I explained that my mother had died. 
"وبما إنها كانت عايزة تعرف من إمتى، جاوبت: ""من إمبارح "".","When? she asked, and I said, ""Yesterday."""
فرجعت شوية صغيرة لورا لكن ماقالتش أي ملاحظة. ,"She made no remark, though I thought she shrank away a little. "
كنت عايز أقولها إن دي مش غلطتي، لكن مسكت نفسي عشان جه في دماغي إن أنا كنت فعلا قلت نفس الجملة دي لصاحب الشغل. ودي حاجة ماكانش ليها معنى. ,"I was just going to explain to her that it wasn't my fault, but I checked myself, as I remembered having said the same thing to my employer, and realizing then it sounded rather foolish. "
في كل الأحوال، دايما بنبقى غلطانين شويه. ,"Still, foolish or not, somehow one can't help feeling a bit guilty, I suppose. "
بالليل، ماري كانت نسيت كل حاجة. ,"Anyhow, by evening Marie had forgotten all about it. "
والفيلم كان ظريف في الأول وبعدين بقى عبيط أوي بجد. ,"The film was funny in parts, but some of it was downright stupid. "
كانت لازقة رجلها في رجلي. وكنت بامشي إيدي بشويش على صدرها. ,"She pressed her leg against mine while we were in the picture house, and I was fondling her breast. "
وقرب نهاية العرض، بوستها، لكن بوستها وحش. ,"Toward the end of the show I kissed her, but rather clumsily."
واحنا خارجين رجعت معايا على البيت. ,Afterward she came back with me to my place. 
لما صحيت، ماري كانت مشيت. ,"When I woke up, Marie had gone. "
كانت قالت لي انها لازم توح لخالتها. ,She'd told me her aunt expected her first thing in the morning.
وافتكرت إن النهاردة يوم الحد ودي حاجة حسستني بالزهق. أنا مش باحب يوم الحد. ,"I remembered it was a Sunday, and that put me off; I've never cared for Sundays. "
فرجعت لسريري، ودورت على ريحة المعطر إلي شعر ماري سابها في المخدة ونمت لحد الساعة عشرة. ,So I turned my head and lazily sniffed the smell of brine that Marie's head had left on the pillow. I slept until ten. 
وبعدها دخنت كام سيجارة، وأنا لسه في السرير وفضلت كده لحد الضهر.,"After that I stayed in bed until noon, smoking cigarettes. "
ماکنش عايز أتغدى عند سيليست زي ما باعمل في العادة، عشان أكيد، كان هيسألني أسئلة وأنا مش باحب كده.,"I decided not to lunch at Celeste's restaurant as I usually did; they'd be sure to pester me with questions, and I dislike being questioned. "
عملت النفسي بيض وكلته علي طول من الطاسة من غير عيش عشان العيش كان خلص وماكنتش عايز أنزل عشان أشتري. ,"So I fried some eggs and ate them off the pan. I did without bread as there wasn't any left, and I couldn't be bothered going down to buy it. "
بعد الغدا، كنت زهقان شوية وفضلت ألف في الشقة التي كانت على قدنا لما ماما كانت هنا. لكن دلوقتي بقت كبيرة أوي عليا واضطريت أنقل ترابيزة السفرة لأوضة النوم بتاعتي. ,"After lunch I felt at loose ends and roamed about the little flat. It suited us well enough when Mother was with me, but now that I was by myself it was too large and I'd moved the dining table into my bedroom. "
ومابقتش عايش غير في الأوضة دي، بين الكراسي القش والدولاب أبو مراية مصفرة، وترابيزة التسريحة والسرير النحاس.,"That was now the only room I used; it had all the furniture I needed: a brass bedstead, a dressing table, some cane chairs, whose seats had more or less caved in, a wardrobe with a tarnished mirror. "
وبقية الشقة كانت مهجورة. ,"The rest of the flat was never used, so I didn't trouble to look after it. "
وبعدها يشوية أخدت جورنال قديم وقريته عشان أشغل نفسي بحاجة. ,"A bit later, for want of anything better to do, I picked up an old newspaper that was lying on the floor and read it."
"وقصيت إعلان عن ملح ""كروش"" ولزقته في كراسة قديمة باحط فيها الحاجات اللي بتعجبني في الجرايد.",There was an advertisement of Kruschen Salts and I cut it out and pasted in into an album where I keep things that amuse me in the papers. 
وكمان غسلت إيديا وفي الآخر قعدت في البلكونة.,"Then I washed my hands and, as a last resource, went out on to the balcony. "
أوضتي بتطل على الشارع الرئيسي في فوبور. ,My bedroom overlooks the main street of our district. 
والجو كان جميل بعد الضهر. وبالرغم من كله، الرصيف كان فيه لامعة دهن، والناس كانو قليلين ولسه مستعجلين. ,"Though it was a fine afternoon, the paving blocks were black and glistening. What few people were about seemed in an absurd hurry."
في الأول، عيلة كانت رايحة تنفسح كان فيهم طفلين لابسين لبس بحارة بشورت تحت الركبة، وهدومهم الخشنة كانت ضيقة عليهم شوية، وماهم بنت صغيره بفيونكة بمبي كبيرة وجزمة لميع سوده. ,"First of all there came a family, going for their Sunday-afternoon walk; two small boys in sailor suits, with short trousers hardly down to their knees, and looking rather uneasy in their Sunday best; then a little girl with a big pink bow and black patent-leather shoes. "
وكان وراهم أم ضخمه، لابسة فستان حرير بني، والأب، كان راجل قصير وضعيف لحد ما، وكنت أعرفه بالشكل کده. ,"Behind them was their mother, an enormously fat woman in a brown silk dress, and their father, a dapper little man, whom I knew by sight. "
كان لابس بوربيطة قش، وبابيون وماسك عصاية في إيده.,"He had a straw hat, a walking stick, and a butterfly tie. "
لما شفته مع مراته، فهمت ليه بيقولو عليه في المنطقة إنه راجل له إعتباره. ,"Seeing him beside his wife, I understood why people said he came of a good family and had married beneath him. "
وبعد شوية عدو الشباب بنوع فوبور، شعرهم بيلمع ولا بسين كارافانات حمرة وجاكتات ضيقة أوي بجيوب مطرزة وجزم ببوز مربع.,"Next came a group of young fellows, the local ""bloods,"" with sleek oiled hair, red ties, coats cut very tight at the waist, braided pockets, and square-toed shoes. "
فخمنت إنهم رايحين السينمات بتاعت وسط البلد. ,I guessed they were going to one of the big theaters in the center of the town.
عشان كده كانو نازلين بدري وبيضحكو جامد وهما ماشيين مستعجلين في إتجاه الترام.,"That was why they had started out so early and were hurrying to the streetcar stop, laughing and talking at the top of their voices. "
بعدهم، الشارع إبتدى يفضى واحدة واحدة. ,"After they had passed, the street gradually emptied. "
بيتهيألي إن العروض بدأت في كل حتة. ,By this time all the matinees must have begun. 
ومافضلش في الشارع غير أصحاب المحلات والقطط. ,Only a few shopkeepers and cats remained about. 
وفوق شجر التين إللي على طول الطريق، السما كانت صافية لكن كانت من غير لمعة. ,"Above the sycamores bordering the road the sky was cloudless, but the light was soft."
وعلى الناحية التانية من الرصيف بياع التبغ خرج كرسي، وحطه قدام باب المحل بتاعه وقعد عليه بالعكس وهو ساند دراعاته الإتنين على الضهر. ,"The tobacconist on the other side of the street brought a chair out on to the pavement in front of his door and sat astride it, resting his arms on the back. "
 والترام إللي كان زحمة من شوية بقى تقريبا فاضي. ,The streetcars which a few minutes before had been crowded were now almost empty. 
"وجنب بياع التبغ، في قهوة صغيرة إسمها "" شه پيارو ""، الجارسون كان بيكنس نشارة الخشب في الصالة المهجورة. ","In the little cafe, Chez Pierrot, beside the tobacconist's, the waiter was sweeping up the sawdust in the empty restaurant. "
كان يوم حد بصحيح. ,A typical Sunday afternoon. 
لفيت الكرسي بتاعي وحطيته زي الكرسي بتاع بياع التبغ عشان لاقيت إن كده أريح. ,"I turned my chair round and seated myself like the tobacconist, as it was more comfortable that way. "
وشربت سجارتين، ودخلت أجيب حتة شوكولاتة ورجعت أكلها في الشباك. ,"After smoking a couple of cigarettes I went back to the room, got a tablet of chocolate, and returned to the window to eat it."
وبعدها بحبة، السما غيمت، وافتكرت إن عاصفة صيف هتهب علينا. ,"Soon after, the sky clouded over, and I thought a summer storm was coming. "
ومع كده، السما صفيت حبة حبة. ,"However, the clouds gradually lifted."
لكن لما سحاب العاصفة عدى، خلا الشارع يبقى لونه أغمق وزي ما يكون ساب عليه وعد بالمطر. ,"All the same, they had left in the street a sort of threat of rain, which made it darker."
وأنا فضلت أبص للسما مدة طويلة. ,I stayed watching the sky for quite a while. 
الساعة خامسة، كذا تروماي وصلو بدوشتهم. ,At five there was a loud clanging of streetcars. 
كانو راجعين من الإستاد بتاع الضواحي وجايبين مجموعات من الجماهير المتشعلقين على السلم وماسكين في الدرابزين. ,They were coming from the stadium in our suburb where there had been a football match. Even the back platforms were crowded and people were standing on the steps.
والتروماي إللي بعدهم كان جايب اللعيبة إللي أنا عرفتهم من شنطهم الصغيرة. ,Then another streetcar brought back the teams. I knew they were the players by the little suitcase each man carried. 
وكانو بيزعقو وبيغنو بعلو صوتهم وبيقولو إن ناديهم مش هيموت. ,"They were bawling out their team song, ""Keep the ball rolling, boys."""
"وحتى واحد فيهم قالي بصوت عالي : ""كسبناهم"". ","One of them looked up at me and shouted, ""We licked them!"" "
"فهزيت راسي عشان أقوله : ""أيوة"". ","I waved my hand and called back, ""Good work!"""
ومن أول اللحظة دي، العربيات إبتديت ترجع. ,From now on there was a steady stream of private cars. 
عدى النهار شوية كمان. والسما إحمرت فوق سطوح العمارت، والشوارع صحصحت مع الليل إللي بيتولد. ,"The sky had changed again; a reddish glow was spreading up beyond the housetops. As dusk set in, the street grew more crowded. "
 والناس إللي كانت بتتفسح رجعت شوية بشوية. وعرفت الراجل إللي له أعتباره من وسط الناس التانيين. ,"People were returning from their walks, and I noticed the dapper little man with the fat wife amongst the passers-by."
والأطفال كانو بيعيطو أو كانو سايبين أهاليهم يجروهم. ,Children were whimpering and trailing wearily after their parents. 
وبعدها على طول تقريبا، السينمات بتاعت المنطقة ملت الشارع بفيضان من المتفرجين. ,After some minutes the local picture houses disgorged their audiences. 
وفي وسطهم، الشباب كانو بيتصرفو بثقة أكثر من العادة فخمنت إنهم إتفرجو على فيلم مغامرات. ,I noticed that the young fellows coming from them were taking longer strides and gesturing more vigorously than at ordinary times; doubtless the picture they'd been seeing was of the wild- West variety. 
واللي كانو راجعين من السينمات بتاعت وسط البلد وصلو متأخر شوية. وكان شكلهم جد أكثر. وكانو لسه بيضحكو، لكن من وقت للتاني، وكان باين عليهم إنهم تعبانين وسرحانين. ,"Those who had been to the picture houses in the middle of the town came a little later, and looked more sedate, though a few were still laughing. On the whole, however, they seemed languid and exhausted. "
وفضلو في الشارع رايحين جايين على الرصيف اللي قصادي من الناحية الثانية. ,Some of them remained loitering in the street under my window. 
وبنات المنطقة، كانو عاملین شعرهم، وماسكين في دراعات بعض. ,"A group of girls came by, walking arm in arm. "
